ids	states	time	distance
0,1	Albania,Bosnia and Herzegovina	31203	560875	
0,2	Albania,Bulgaria	25489	538376	
0,3	Albania,Croatia	40751	882318	
0,4	Albania,Greece	31179	722149	
0,5	Albania,Kosovo	11441	256721	
0,6	Albania,Macedonia	14642	302821	
0,7	Albania,Montenegro	8616	154176	
0,8	Albania,Serbia	30056	745231	
1,2	Bosnia and Herzegovina,Bulgaria	32474	599846	
1,3	Bosnia and Herzegovina,Croatia	18216	447966	
1,4	Bosnia and Herzegovina,Greece	53970	1312229	
1,5	Bosnia and Herzegovina,Kosovo	29033	478964	
1,6	Bosnia and Herzegovina,Macedonia	30770	639216	
1,7	Bosnia and Herzegovina,Montenegro	22823	408834	
1,8	Bosnia and Herzegovina,Serbia	14743	346432	
2,3	Bulgaria,Croatia	32234	786667	
2,4	Bulgaria,Greece	31784	801307	
2,5	Bulgaria,Kosovo	17108	317845	
2,6	Bulgaria,Macedonia	12183	232407	
2,7	Bulgaria,Montenegro	30553	601511	
2,8	Bulgaria,Serbia	18711	397104	
3,4	Croatia,Greece	53419	1500741	
3,5	Croatia,Kosovo	35144	913166	
3,6	Croatia,Macedonia	30219	827728	
3,7	Croatia,Montenegro	34869	761900	
3,8	Croatia,Serbia	14526	395760	
4,5	Greece,Kosovo	30125	789360	
4,6	Greece,Macedonia	25207	703803	
4,7	Greece,Montenegro	39197	875191	
4,8	Greece,Serbia	39490	1104414	
5,6	Kosovo,Macedonia	6065	87907	
5,7	Kosovo,Montenegro	18775	298868	
5,8	Kosovo,Serbia	21543	522332	
6,7	Macedonia,Montenegro	19776	372846	
6,8	Macedonia,Serbia	16535	436229	
7,8	Montenegro,Serbia	27430	419603	
