id	State	City	Lat	Lon
0	Illinois	Springfield	39.798447	-89.65493
1	Indiana	Indianapolis	39.768651	-86.162608
2	Iowa	Des Moines	41.591182	-93.603496
3	Kansas	Topeka	39.048094	-95.678206
4	Michigan	Lansing	42.733995	-84.555492
5	Minnesota	Saint Paul	44.955344	-93.102212
6	Missouri	Jefferson City	38.579665	-92.172912
7	Nebraska	Lincoln	40.807995	-96.699613
8	North Dakota	Bismarck	46.820866	-100.781944
9	Ohio	Columbus	39.961685	-82.999156
10	South Dakota	Pierre	44.367056	-100.346356
11	Wisconsin	Madison	43.074656	-89.384445
